00:00.411 ID:2  Rime started with address 0.0.0.0.0.0.0.2
00:00.424 ID:2  MAC 00:00:00:00:00:00:00:02 Contiki-3.x-3355-g9bb72f5 started. Node id is set to 2.
00:00.433 ID:2  nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.444 ID:2  Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0002
00:00.445 ID:2  
00:00.451 ID:2  aaaa::1Started DTLS retransmit process
00:00.460 ID:2  dtls_new_peer: [AAAA:0000:0000:0000:0000:0000:0000:0001]:1885
00:00.465 ID:2  DTLSv12: initialize HASH_SHA256
00:00.472 ID:2  send handshake packet of type: client_hello (1)
00:00.528 ID:1  Rime started with address 0.0.0.0.0.0.0.1
00:00.542 ID:1  MAC 00:00:00:00:00:00:00:01 Contiki-3.x-3355-g9bb72f5 started. Node id is set to 1.
00:00.551 ID:1  CSMA ContikiMAC, channel check rate 8 Hz, radio channel 26
00:00.556 ID:2  $$PT$$  20 P 0.0 0 924 2138 0 0 0 0 924 2138 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
00:00.563 ID:1  Tentative link-local IPv6 address fe80:0000:0000:0000:0200:0000:0000:0001
00:00.563 ID:1  
00:00.570 ID:1  ?PGot configuration message of type P
00:00.573 ID:1  Setting prefix aaaa::
00:00.650 ID:2  $$PT$$  32 P 0.0 1 1543 4591 0 24 0 0 618 2453 0 24 0 0 (radio 0.39% / 0.78% tx 0.00% / 0.00% listen 0.39% / 0.78%) $$PT$$
00:00.673 ID:1  $$PT$$  20 P 0.0 0 363 2654 0 0 0 0 363 2654 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
00:00.744 ID:2  $$PT$$  44 P 0.0 2 2151 7055 0 48 0 0 607 2464 0 24 0 0 (radio 0.52% / 0.78% tx 0.00% / 0.00% listen 0.52% / 0.78%) $$PT$$
00:00.766 ID:1  $$PT$$  32 P 0.0 1 970 5119 0 2 0 0 606 2465 0 2 0 0 (radio 0.03% / 0.06% tx 0.00% / 0.00% listen 0.03% / 0.06%) $$PT$$
00:00.837 ID:2  $$PT$$  56 P 0.0 3 2759 9519 0 72 0 0 607 2464 0 24 0 0 (radio 0.58% / 0.78% tx 0.00% / 0.00% listen 0.58% / 0.78%) $$PT$$
00:00.860 ID:1  $$PT$$  44 P 0.0 2 1576 7585 0 2 0 0 605 2466 0 0 0 0 (radio 0.02% / 0.00% tx 0.00% / 0.00% listen 0.02% / 0.00%) $$PT$$
00:00.932 ID:2  $$PT$$  68 P 0.0 4 3367 11983 0 72 0 0 607 2464 0 0 0 0 (radio 0.46% / 0.00% tx 0.00% / 0.00% listen 0.46% / 0.00%) $$PT$$
00:00.954 ID:1  $$PT$$  56 P 0.0 3 2188 10045 0 2 0 0 611 2460 0 0 0 0 (radio 0.01% / 0.00% tx 0.00% / 0.00% listen 0.01% / 0.00%) $$PT$$
00:01.025 ID:2  $$PT$$  80 P 0.0 5 4003 14419 0 96 0 0 635 2436 0 24 0 0 (radio 0.52% / 0.78% tx 0.00% / 0.00% listen 0.52% / 0.78%) $$PT$$
00:01.048 ID:1  $$PT$$  68 P 0.0 4 2807 12498 0 2 0 0 618 2453 0 0 0 0 (radio 0.01% / 0.00% tx 0.00% / 0.00% listen 0.01% / 0.00%) $$PT$$
00:01.119 ID:2  $$PT$$  92 P 0.0 6 4616 16878 0 120 0 0 612 2459 0 24 0 0 (radio 0.55% / 0.78% tx 0.00% / 0.00% listen 0.55% / 0.78%) $$PT$$
00:01.142 ID:1  $$PT$$  80 P 0.0 5 3426 14951 0 2 0 0 618 2453 0 0 0 0 (radio 0.01% / 0.00% tx 0.00% / 0.00% listen 0.01% / 0.00%) $$PT$$
00:01.213 ID:2  $$PT$$  104 P 0.0 7 5236 19330 0 144 0 0 619 2452 0 24 0 0 (radio 0.58% / 0.78% tx 0.00% / 0.00% listen 0.58% / 0.78%) $$PT$$
00:01.236 ID:1  $$PT$$  92 P 0.0 6 4044 17405 0 2 0 0 618 2454 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
00:01.307 ID:2  $$PT$$  116 P 0.0 8 5863 21775 0 144 0 0 626 2445 0 0 0 0 (radio 0.52% / 0.00% tx 0.00% / 0.00% listen 0.52% / 0.00%) $$PT$$
00:01.330 ID:1  $$PT$$  104 P 0.0 7 4662 19859 0 2 0 0 618 2454 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
00:01.400 ID:2  $$PT$$  128 P 0.0 9 6513 24198 0 168 0 0 649 2423 0 24 0 0 (radio 0.54% / 0.78% tx 0.00% / 0.00% listen 0.54% / 0.78%) $$PT$$
00:01.423 ID:1  $$PT$$  116 P 0.0 8 5287 22306 0 2 0 0 625 2447 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
00:01.517 ID:1  $$PT$$  128 P 0.0 9 5911 24754 0 2 0 0 624 2448 0 0 0 0 (radio 0.00% / 0.00% tx 0.00% / 0.00% listen 0.00% / 0.00%) $$PT$$
